"","taxi_no","avg_fare_per_trip","total_fare"
"640","B633A7",2.78769230769231,36.24
"641","B44D21",12.5028571428571,87.52
"642","B34G57",2.64,23.76
"643","B12K59",2.72,24.48
"644","B40P78",12.88,193.2
"645","BFH891",12.5963636363636,138.56
"646","BGC341",2.76,11.04
"647","BFE900",2.76,16.56
"648","B47U92",2.60571428571429,18.24
"649","BHC172",12.9538461538462,168.4
"650","B25K81",2.625,42
"651","B10G03",2.76,33.12
"652","B05P07",2.8,25.2
"653","B842E5",2.76,27.6
"654","B81B71",2.71555555555556,24.44
"655","B29S22",3.12,3.12
"656","BTV802",2.78769230769231,36.24
"657","B19T65",2.8,25.2
"658","B45U75",2.85,22.8
"659","B11G19",2.64,31.68
"660","B48X47",2.84307692307692,36.96
"661","BGG565",2.64,15.84
"662","B99F68",2.92,52.56
"663","BFZ688",2.64,15.84
"664","B27F42",2.688,26.88
"665","BGS055",2.72,24.48
"666","B15K68",2.66181818181818,29.28
"667","B77W41",2.76,38.64
"668","B88W71",2.85,22.8
"669","BGX567",2.60571428571429,18.24
"670","BBQ130",13.12,39.36
"671","B19G69",2.49,19.92
"672","B46E85",13.12,26.24
"673","B04G40",2.8,25.2
"674","B87W51",2.76,27.6
"675","B32W97",2.92363636363636,32.16
"676","B51A61",12.67,101.36
"677","B058E8",2.84307692307692,36.96
"678","B54X49",2.50285714285714,17.52
"679","B27F32",2.8,25.2
"680","BLS795",2.805,44.88
"681","BFE216",2.904,29.04
"682","B06P77",2.89263157894737,54.96
"683","B50E09",12.76,204.16
"684","B04R77",2.81142857142857,19.68
"685","B18F29",3.048,30.48
"686","BGN223",12.76,102.08
"687","B41V65",2.85818181818182,31.44
"688","B12K19",2.904,29.04
"689","B70P26",12.7085714285714,88.96
"690","B51A38",12.6057142857143,88.24
"691","B12K90",2.88,8.64
"692","B19G33",2.72,24.48
"693","B18F60",2.98909090909091,32.88
"694","B50A27",12.85,102.8
"695","BBS351",2.64,31.68
"696","B77A59",2.56,23.04
"697","B47U68",2.64,15.84
"698","BGC470",2.60571428571429,18.24
"699","BGS537",2.784,41.76
"700","BUC806",2.50285714285714,17.52
"701","B41F75",2.64,23.76
"702","BGR680",2.94,23.52
"703","BKT185",2.76,22.08
"704","BBT251",2.50285714285714,17.52
"705","BGD410",2.88,25.92
"706","BKP288",2.832,14.16
"707","BKX340",2.832,28.32
"708","BFE188",2.85,22.8
"709","B54L67",2.90823529411765,49.44
"710","B43F49",2.64,15.84
"711","B51K81",2.805,44.88
"712","BGD291",2.86588235294118,48.72
"713","B43X25",2.67692307692308,34.8
"714","B56L00",2.60571428571429,18.24
"715","B73W25",2.76,16.56
"716","BGG503",2.76,16.56
"717","B05P48",2.76,27.6
"718","B78A27",2.805,44.88
"719","B43V95",2.59636363636364,28.56
"720","BLS708",2.76,27.6
"721","B25W92",2.81142857142857,19.68
"722","BGA067",2.82,33.84
"723","BFH695",12.58,100.64
"724","B79V86",2.832,28.32
"725","B50E82",12.616,126.16
"726","BJC871",2.76,27.6
"727","B081E8",2.76,16.56
"728","BKQ906",2.58,20.64
"729","BKZ675",2.76,22.08
"730","BLS718",2.52,15.12
"731","BWG071",2.76,27.6
"732","B40P13",12.8430769230769,166.96
"733","B50K75",2.94,23.52
"734","B75E25",2.67,21.36
"735","B85R09",2.66181818181818,29.28
"736","BGH052",2.86285714285714,40.08
"737","B46E95",12.58,150.96
"738","B034D6",12.76,127.6
"739","B59W33",2.50285714285714,17.52
"740","BFJ993",12.67,101.36
"741","B32A16",12.688,126.88
"742","B24K11",2.94,11.76
"743","BJE896",2.72727272727273,30
"744","B04G31",2.70857142857143,18.96
"745","B13K41",2.67,21.36
"746","B13K67",2.85,22.8
"747","B14F45",2.832,14.16
"748","B05R53",2.72,24.48
"749","B32K03",2.81142857142857,19.68
"750","B05S37",12.784,191.76
"751","B90P46",2.76,11.04
"752","BJE432",2.81142857142857,39.36
"753","B79A25",2.76,27.6
"754","B532E1",2.544,12.72
"755","BWG008",2.81142857142857,19.68
"756","BFH838",12.8114285714286,89.68
"757","BTV521",2.58,20.64
"758","B09F45",2.76,38.64
"759","B38X40",2.85,45.6
"760","B70P18",12.76,127.6
"761","B19G43",2.76,5.52
"762","B181F7",2.81142857142857,19.68
"763","BFH560",12.67,101.36
"764","B79A72",2.88,34.56
"765","B28F25",2.70857142857143,18.96
"766","B55X66",2.8,25.2
"767","B08R09",2.64,15.84
"768","B78F70",2.72,24.48
"769","B07F03",2.73230769230769,35.52
"770","B54W63",12.8581818181818,141.44
"771","BWG011",2.832,28.32
"772","B57D52",12.82,153.84
"773","B70A59",2.7,32.4
"774","B40P98",12.7323076923077,165.52
"775","B10G75",2.88,25.92
"776","BTV575",2.88,25.92
"777","B743E2",2.52,30.24
"778","BBS441",2.67,21.36
"779","B63S49",2.688,40.32
"780","B20S33",2.52,15.12
"781","BGC256",2.67,21.36
"782","B864D8",2.832,14.16
"783","B882D0",3.12,6.24
"784","B801D5",2.76,27.6
"785","B888D3",2.79272727272727,30.72
"786","B553C9",2.82,33.84
"787","B544C7",2.94,23.52
"788","BFZ697",2.60571428571429,18.24
"789","B34X87",12.6571428571429,177.2
"790","B84W52",2.85,22.8
"791","B55X77",2.76,27.6
"792","B75F86",2.64,15.84
"793","B19R80",2.76,16.56
"794","B11U79",2.88,25.92
"795","B041D7",12.544,125.44
"796","BQG618",2.784,41.76
"797","B31G42",2.76,33.12
"798","BGC218",3.12,18.72
"799","BLS227",2.86588235294118,48.72
"800","B44G30",2.76,44.16
"801","B34G51",2.66181818181818,29.28
"802","BGS503",2.64,15.84
"803","BPL058",3.12,9.36
"804","B36U26",3.01714285714286,21.12
